Title,Link,Abstract,PublishedDate,MoreInfoLink,lemmas_title,lemmas_abstract
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic, following a meeting of the EU Executive Steering Group on Shortages of Medicines Caused by Major Events. The update covers progress made in setting up an enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and planned updates to the guidance for pharmaceutical companies on adaptations of the regulatory framework to address COVID-19-related challenges.",20 April,EU actions to support availability of medicines during COVID-19 pandemic – update #2 (20/04/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA', 'provide', 'update', 'measure', 'EU', 'authorities', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic,', 'follow', 'meet', 'EU', 'Executive', 'Steering', 'Group', 'Shortages', 'Medicines', 'Caused', 'Major', 'Events.', 'The', 'update', 'cover', 'progress', 'make', 'set', 'enhance', 'monitor', 'system', 'supply', 'issue', 'crucial', 'medicine', 'treatment', 'COVID-19', 'plan', 'update', 'guidance', 'pharmaceutical', 'company', 'adaptations', 'regulatory', 'framework', 'address', 'COVID-19-related', 'challenges.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,"The International Coalition of Medicines Regulatory Authorities published a report summarising the third global regulatory workshop on the use of observational studies and real-world data in generating robust evidence on the safety and efficacy of COVID-19 vaccines and treatments. The report provides a snapshot of ongoing and planned observational studies, platforms and registries in various countries and regions around the world. EMA co-chaired the meeting with Health Canada.",16 April,Meeting highlights from ICMRA global regulatory workshop on COVID-19 observational studies and real world data (16/04/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['The', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', 'publish', 'report', 'summarise', 'third', 'global', 'regulatory', 'workshop', 'use', 'observational', 'study', 'real-world', 'data', 'generate', 'robust', 'evidence', 'safety', 'efficacy', 'COVID-19', 'vaccines', 'treatments.', 'The', 'report', 'provide', 'snapshot', 'ongoing', 'plan', 'observational', 'studies,', 'platforms', 'registries', 'various', 'countries', 'regions', 'around', 'world.', 'EMA', 'co-chaired', 'meet', 'Health', 'Canada.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA, the European Commission and the European medicines regulatory network published guidance for companies on adaptations to the regulatory framework to address challenges arising from the COVID-19 pandemic, with a particular focus on crucial medicines for use in COVID-19 patients.",10 April,Guidance on regulatory requirements in the context of the COVID-19 pandemic (10/04/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA,', 'European', 'Commission', 'European', 'medicine', 'regulatory', 'network', 'publish', 'guidance', 'company', 'adaptations', 'regulatory', 'framework', 'address', 'challenge', 'arise', 'COVID-19', 'pandemic,', 'particular', 'focus', 'crucial', 'medicine', 'use', 'COVID-19', 'patients.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,EMA provided an update on the measures EU authorities are putting place to support the continued availability of medicines during the pandemic. This covers the enhanced monitoring system for supply issues with crucial medicines for the treatment of COVID-19 and the guidance currently under development on the regulatory rules that could be applied with greater flexibility to help secure their continued supply.,10 April,Update on EU actions to support availability of medicines during COVID-19 pandemic (10/04/2020) ,"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA', 'provide', 'update', 'measure', 'EU', 'authorities', 'put', 'place', 'support', 'continue', 'availability', 'medicine', 'pandemic.', 'This', 'cover', 'enhance', 'monitor', 'system', 'supply', 'issue', 'crucial', 'medicine', 'treatment', 'COVID-19', 'guidance', 'currently', 'development', 'regulatory', 'rule', 'could', 'apply', 'greater', 'flexibility', 'help', 'secure', 'continue', 'supply.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,"EMA published the 


mandate of its COVID-19 EMA pandemic Task Force (COVID-ETF).

 The Task Force is helping EU Member States and the European Commission to take quick and coordinated regulatory action on the development, authorisation and safety monitoring of treatments and vaccines intended for the treatment and prevention of COVID-19.",9 April,EMA establishes task force to take quick and coordinated regulatory action related to COVID-19 medicines (09/04/2020)  ,"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'publish', 'mandate', 'COVID-19', 'EMA', 'pandemic', 'Task', 'Force', '(COVID-ETF).', 'The', 'Task', 'Force', 'help', 'EU', 'Member', 'States', 'European', 'Commission', 'take', 'quick', 'coordinate', 'regulatory', 'action', 'development,', 'authorisation', 'safety', 'monitor', 'treatments', 'vaccines', 'intend', 'treatment', 'prevention', 'COVID-19.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,The International Coalition of Medicines Regulatory Authorities published the report summarising the second global regulatory workshop on COVID-19 medicine development held on Thursday 2 April. The report stresses the need for robust evidence to show which potential treatments work. EMA co-chaired the meeting.,9 April,Global regulators stress need for robust evidence on COVID-19 treatments (09/04/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['The', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', 'publish', 'report', 'summarise', 'second', 'global', 'regulatory', 'workshop', 'COVID-19', 'medicine', 'development', 'hold', 'Thursday', '2', 'April.', 'The', 'report', 'stress', 'need', 'robust', 'evidence', 'show', 'potential', 'treatments', 'work.', 'EMA', 'co-chaired', 'meeting.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,EMA and Health Canada jointly chaired the third global regulatory workshop on Monday 6 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed how data generated during clinical practice in the treatment of COVID-19 could complement evidence from clinical trials of potential COVID-19 treatments and vaccines.,7 April,Global regulators discuss observational studies of real world data for COVID-19 medicines (07/04/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['EMA', 'Health', 'Canada', 'jointly', 'chair', 'third', 'global', 'regulatory', 'workshop', 'Monday', '6', 'April', 'umbrella', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA).', 'The', 'participants', 'discuss', 'data', 'generate', 'clinical', 'practice', 'treatment', 'COVID-19', 'could', 'complement', 'evidence', 'clinical', 'trials', 'potential', 'COVID-19', 'treatments', 'vaccines.']"
EMA’s governance during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/emas-governance-during-covid-19-pandemic,EMA announced that essential work to combat the COVID-19 pandemic would continue during the Agency’s Easter break from 9 to 13 April 2020.,7 April,Essential work to combat the COVID-19 pandemic to continue during EMA's Easter break from 9 to 13 April 2020 (07/04/2020),"['EMA’s', 'governance', 'COVID-19', 'pandemic']","['EMA', 'announce', 'essential', 'work', 'combat', 'COVID-19', 'pandemic', 'would', 'continue', 'Agency’s', 'Easter', 'break', '9', '13', 'April', '2020.']"
Availability of medicines during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/availability-medicines-during-covid-19-pandemic,"EMA announced new EU-level measures to help prevent and mitigate supply issues with medicines used to treat COVID-19 patients. These include enhanced coordination with the pharmaceutical industry in monitoring supply issues and regulatory actions to support companies in increasing the available supply of critical medicines. During this extraordinary health crisis, EMA will act as the central EU coordinator, supporting Member States' activities in preventing and mitigating supply issues.",6 April,EU authorities agree new measures to support availability of medicines used in the COVID-19 pandemic (06/04/2020),"['Availability', 'medicine', 'COVID-19', 'pandemic']","['EMA', 'announce', 'new', 'EU-level', 'measure', 'help', 'prevent', 'mitigate', 'supply', 'issue', 'medicine', 'use', 'treat', 'COVID-19', 'patients.', 'These', 'include', 'enhance', 'coordination', 'pharmaceutical', 'industry', 'monitor', 'supply', 'issue', 'regulatory', 'action', 'support', 'company', 'increase', 'available', 'supply', 'critical', 'medicines.', 'During', 'extraordinary', 'health', 'crisis,', 'EMA', 'act', 'central', 'EU', 'coordinator,', 'support', 'Member', ""States'"", 'activities', 'prevent', 'mitigate', 'supply', 'issues.']"
Treatments and vaccines for COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines-covid-19,EMA’s human medicines committee (CHMP) gave recommendations on how the investigational antiviral medicine remdesivir should be used in compassionate use programmes across Europe when treating COVID-19 patients who are not eligible for inclusion in clinical trials. These recommendations aim to ensure a harmonised approach across EU Member States. They also explain which group of patients may benefit from treatment and provide preliminary information on the medicine’s safety.,3 April,EMA provides recommendations on compassionate use of remdesivir for COVID-19 (03/04/2020),"['Treatments', 'vaccines', 'COVID-19']","['EMA’s', 'human', 'medicine', 'committee', '(CHMP)', 'give', 'recommendations', 'investigational', 'antiviral', 'medicine', 'remdesivir', 'use', 'compassionate', 'use', 'program', 'across', 'Europe', 'treat', 'COVID-19', 'patients', 'eligible', 'inclusion', 'clinical', 'trials.', 'These', 'recommendations', 'aim', 'ensure', 'harmonise', 'approach', 'across', 'EU', 'Member', 'States.', 'They', 'also', 'explain', 'group', 'patients', 'may', 'benefit', 'treatment', 'provide', 'preliminary', 'information', 'medicine’s', 'safety.']"
International Coalition of Medicines Regulatory Authorities (ICMRA),https://www.ema.europa.eu/en/partners-networks/international-activities/multilateral-organisations-initiatives/international-coalition-medicines-regulatory-authorities-icmra,EMA and the Japanese Pharmaceuticals and Medical Devices Agency (PMDA) jointly chaired the second global regulatory workshop on Thursday 2 April under the umbrella of the International Coalition of Medicines Regulatory Authorities (ICMRA). The participants discussed the progress made in the development of potential COVID-19 treatments and reaffirmed the need for large clinical trials to generate conclusive evidence on which treatments work. ICMRA will publish a summary report of the meeting shortly.,3 April,International regulators discuss available knowledge supporting COVID-19 medicine development  (03/04/2020),"['International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA)']","['EMA', 'Japanese', 'Pharmaceuticals', 'Medical', 'Devices', 'Agency', '(PMDA)', 'jointly', 'chair', 'second', 'global', 'regulatory', 'workshop', 'Thursday', '2', 'April', 'umbrella', 'International', 'Coalition', 'Medicines', 'Regulatory', 'Authorities', '(ICMRA).', 'The', 'participants', 'discuss', 'progress', 'make', 'development', 'potential', 'COVID-19', 'treatments', 'reaffirm', 'need', 'large', 'clinical', 'trials', 'generate', 'conclusive', 'evidence', 'treatments', 'work.', 'ICMRA', 'publish', 'summary', 'report', 'meet', 'shortly.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,EMA advised patients and healthcare professionals to only use chloroquine and hydroxychloroquine medicines for their authorised indications or as part of clinical trials or national emergency use programmes for the treatment of COVID-19. This is to ensure patient safety and the best use of available supplies.,1 April,COVID-19: chloroquine and hydroxychloroquine only to be used in clinical trials or emergency use programmes (01/04/2020),"['Public-health', 'advice', 'COVID-19', 'pandemic']","['EMA', 'advise', 'patients', 'healthcare', 'professionals', 'use', 'chloroquine', 'hydroxychloroquine', 'medicine', 'authorise', 'indications', 'part', 'clinical', 'trials', 'national', 'emergency', 'use', 'program', 'treatment', 'COVID-19.', 'This', 'ensure', 'patient', 'safety', 'best', 'use', 'available', 'supplies.']"
Treatments and vaccines for COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/treatments-vaccines-covid-19,EMA announced that it has held discussions with developers of around 40 potential treatments and a dozen vaccines against COVID-19. No potential COVID-19 treatments had demonstrated efficacy based on the preliminary data available. EMA welcomes the launch of large clinical trials to test promising treatments and to generate conclusive evidence. Two vaccines had already entered phase I clinical trials. EMA estimated that it might take at least a year before a vaccine is ready for approval and available in sufficient quantities to enable widespread use.,31 Match,Update on treatments and vaccines against COVID-19 under development  (31/03/2020),"['Treatments', 'vaccines', 'COVID-19']","['EMA', 'announce', 'hold', 'discussions', 'developers', 'around', '40', 'potential', 'treatments', 'dozen', 'vaccines', 'COVID-19.', 'No', 'potential', 'COVID-19', 'treatments', 'demonstrate', 'efficacy', 'base', 'preliminary', 'data', 'available.', 'EMA', 'welcome', 'launch', 'large', 'clinical', 'trials', 'test', 'promise', 'treatments', 'generate', 'conclusive', 'evidence.', 'Two', 'vaccines', 'already', 'enter', 'phase', 'I', 'clinical', 'trials.', 'EMA', 'estimate', 'might', 'take', 'least', 'year', 'vaccine', 'ready', 'approval', 'available', 'sufficient', 'quantities', 'enable', 'widespread', 'use.']"
Certification of medicinal products,https://www.ema.europa.eu/en/human-regulatory/post-authorisation/certification-medicinal-products,EMA started issuing certificates that are signed and authenticated electronically in place of paper certificates. This applies to all ongoing and future requests for certificates during the COVID-19 pandemic.,30 March,EMA to issue electronic certificates for medicines (30/03/2020),"['Certification', 'medicinal', 'products']","['EMA', 'start', 'issue', 'certificate', 'sign', 'authenticate', 'electronically', 'place', 'paper', 'certificates.', 'This', 'apply', 'ongoing', 'future', 'request', 'certificate', 'COVID-19', 'pandemic.']"
Guidance for medicine developers and companies on COVID-19,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/guidance-medicine-developers-companies-covid-19,"EMA, the European Commission and the Heads of Medicines Agencies updated the Guidance on the management of clinical trials during the COVID-19 (coronavirus) pandemic to cover safety reporting, the distribution of in-vitro diagnostics, medical devices and auditing. The updated guidance also incorporates changes in other sections, in particular on communicating with authorities, informed consent and the distribution of investigational medicines.",27 March, ,"['Guidance', 'medicine', 'developers', 'company', 'COVID-19']","['EMA,', 'European', 'Commission', 'Heads', 'Medicines', 'Agencies', 'update', 'Guidance', 'management', 'clinical', 'trials', 'COVID-19', '(coronavirus)', 'pandemic', 'cover', 'safety', 'reporting,', 'distribution', 'in-vitro', 'diagnostics,', 'medical', 'devices', 'auditing.', 'The', 'update', 'guidance', 'also', 'incorporate', 'change', 'sections,', 'particular', 'communicate', 'authorities,', 'inform', 'consent', 'distribution', 'investigational', 'medicines.']"
Public-health advice during COVID-19 pandemic,https://www.ema.europa.eu/en/human-regulatory/overview/public-health-threats/coronavirus-disease-covid-19/public-health-advice-during-covid-19-pandemic,"EMA advised patients and healthcare professionals that angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARBs, or sartan medicines) can continue to be used to treat high blood pressure, heart failure or kidney disease during the COVID-19 pandemic. There is currently no evidence from clinical or epidemiological studies that establishes a link between these medicines and worsening of COVID-19. Patients taking these medicines should not interrupt their treatment without speaking to their doctor or pharmacist first. EMA will keep its information on new COVID-19-related treatment recommendations up to date.",27 March,"EMA advises continued use of medicines for hypertension, heart or kidney disease during COVID-19 pandemic (27/03/2020)","['Public-health', 'advice', 'COVID-19', 'pandemic']","['EMA', 'advise', 'patients', 'healthcare', 'professionals', 'angiotensin', 'convert', 'enzyme', '(ACE)', 'inhibitors', 'angiotensin', 'receptor', 'blockers', '(ARBs,', 'sartan', 'medicines)', 'continue', 'use', 'treat', 'high', 'blood', 'pressure,', 'heart', 'failure', 'kidney', 'disease', 'COVID-19', 'pandemic.', 'There', 'currently', 'evidence', 'clinical', 'epidemiological', 'study', 'establish', 'link', 'medicine', 'worsen', 'COVID-19.', 'Patients', 'take', 'medicine', 'interrupt', 'treatment', 'without', 'speak', 'doctor', 'pharmacist', 'first.', 'EMA', 'keep', 'information', 'new', 'COVID-19-related', 'treatment', 'recommendations', 'date.']"
