ID,Title,DOI,Link,Author,Abstract,Type,Subject,PublishedDate
DOI:10.1038/s41430-020-0652-1,"Diabetes and COVID-19: evidence, current status and unanswered research questions",10.1038/s41430-020-0652-1,/articles/s41430-020-0652-1,Ritesh Gupta,"Patients with diabetes who get coronavirus disease 2019 (COVID-19) are at risk of a severe disease course and mortality. Several factors especially the impaired immune response, heightened inflammatory response and hypercoagulable state contribute to the increased disease severity. However, there are many contentious issues about which the evidence is rather limited. There are some theoretical concerns about the effects of different anti-hyperglycaemic drugs. Similarly, despite the recognition of angiotensin converting enzyme 2 (ACE2) as the receptor for severe acute respiratory syndrome coronavirus 2 (SARS CoV-2), and the role of ACE2 in lung injury; there are conflicting results with the use of angiotensin converting enzyme (ACE) inhibitors and angiotensin receptor blockers (ARB) in these patients. Management of patients with diabetes in times of restrictions on mobility poses some challenges and novel approaches like telemedicine can be useful. There is a need to further study the natural course of COVID-19 in patients with diabetes and to understand the individual, regional and ethnic variations in disease prevalence and course.",Reviews,European Journal of Clinical Nutrition,2020-05-13
DOI:10.1038/s41431-020-0634-8,BBMRI-ERIC’s contributions to research and knowledge exchange on COVID-19,10.1038/s41431-020-0634-8,/articles/s41431-020-0634-8,Petr Holub,"During the COVID-19 pandemic, the European biobanking infrastructure is in a unique position to preserve valuable biological material complemented with detailed data for future research purposes. Biobanks can be either integrated into healthcare, where preservation of the biological material is a fork in clinical routine diagnostics and medical treatment processes or they can also host prospective cohorts or material related to clinical trials. The paper discussed objectives of BBMRI-ERIC, the European research infrastructure established to facilitate access to quality-defined biological materials and data for research purposes, with respect to the COVID-19 crisis: (a) to collect information on available European as well as non-European COVID-19-relevant biobanking resources in BBMRI-ERIC Directory and to facilitate access to these via BBMRI-ERIC Negotiator platform; (b) to help harmonizing guidelines on how data and biological material is to be collected to maximize utility for future research, including large-scale data processing in artificial intelligence, by participating in activities such as COVID-19 Host Genetics Initiative; (c) to minimize risks for all involved parties dealing with (potentially) infectious material by developing recommendations and guidelines; (d) to provide a European-wide platform of exchange in relation to ethical, legal, and societal issues (ELSI) specific to the collection of biological material and data during the COVID-19 pandemic.",Reviews,European Journal of Human Genetics,2020-05-22
DOI:10.1038/s41591-020-0874-8,Caring for patients with cancer in the COVID-19 era,10.1038/s41591-020-0874-8,/articles/s41591-020-0874-8,Joris van de Haar,"The current COVID-19 pandemic challenges oncologists to profoundly re-organize oncological care in order to dramatically reduce hospital visits and admissions and therapy-induced immune-related complications without compromising cancer outcomes. Since COVID-19 is a novel disease, guidance by scientific evidence is often unavailable, and impactful decisions are inevitably made on the basis of expert opinions. Here we report how the seven comprehensive cancer centers of Cancer Core Europe have organized their healthcare systems at an unprecedented scale and pace to make their operations ‘pandemic proof’. We identify and discuss many commonalities, but also important local differences, and pinpoint critical research priorities to enable evidence-based remodeling of cancer care during the COVID-19 pandemic. Also, we discuss how the current situation offers a unique window of opportunity for assessing the effects of de-escalating anticancer regimens, which may fast-forward the development of more-refined and less-toxic treatments. By sharing our joint experiences, we offer a roadmap for proceeding and aim to mobilize the global research community to generate the data that are critically needed to offer the best possible care to patients.",Reviews,Nature Medicine,2020-04-16
DOI:10.1038/s41571-020-0394-y,COVID-19 and cancer: do we really know what we think we know?,10.1038/s41571-020-0394-y,/articles/s41571-020-0394-y,Andrew G. Robinson,,Comments and Opinion,Nature Reviews Clinical Oncology,2020-05-18
DOI:10.1038/s41391-020-0240-4,Elective procedures for prostate cancer in the time of Covid-19: a multidisciplinary team experience,10.1038/s41391-020-0240-4,/articles/s41391-020-0240-4,Alessandro Sciarra,"On March 29th 2020, 97,689 cases of COVID-19 have been diagnosed only in Italy, with 73,880 actually positive cases, a daily increase of 3815 cases, 27,386 hospitalized and 3906 patients in intensive care units, causing a total of 10,779 known deaths. In all urological departments, quickly inpatient and outpatient services have been significantly reduced. Even in this COVID-19 situation, urological neoplasm care must go on, but significant changes need to be made in the way some care is delivered. We compared diagnostic and therapeutic elective procedures requested and performed for PC management from our multidisciplinary team (MDT) during 1 month activity in the highest national level of COVID-19 infection (March 2020) and under restrictions for all the population, with the management performed in a no-COVID-19 month (March 2019) 1 year ago. The only management that did not received a significant reduction are medical therapies for advanced hormone sensitive (HS) or castration resistant (CR) PC. We describe our MDT identifications of elective undeferrable PC management in this COVID-19 time. These suggestions have been considered for a country (ITALY) under a rapid increase of COVID-19 cases and complications, but in a region with an actual lower impact (2914 actual positive and 1079 hospitalized cases) from the infection and in an hospital not completely converted to COVID-19 management. Indications should be different and restricted only to emergencies on the basis of COVID-19 pandemic situation and hospital involvement.",Reviews,Prostate Cancer and Prostatic Diseases,2020-05-18
DOI:10.1038/s41577-020-0311-8,"The trinity of COVID-19: immunity, inflammation and intervention",10.1038/s41577-020-0311-8,/articles/s41577-020-0311-8,Matthew Zirui Tay,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is the causative agent of the ongoing coronavirus disease 2019 (COVID-19) pandemic. Alongside investigations into the virology of SARS-CoV-2, understanding the fundamental physiological and immunological processes underlying the clinical manifestations of COVID-19 is vital for the identification and rational design of effective therapies. Here, we provide an overview of the pathophysiology of SARS-CoV-2 infection. We describe the interaction of SARS-CoV-2 with the immune system and the subsequent contribution of dysfunctional immune responses to disease progression. From nascent reports describing SARS-CoV-2, we make inferences on the basis of the parallel pathophysiological and immunological features of the other human coronaviruses targeting the lower respiratory tract — severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV). Finally, we highlight the implications of these approaches for potential therapeutic interventions that target viral infection and/or immunoregulation.",Reviews,Nature Reviews Immunology,2020-04-28
DOI:10.1038/s41430-020-0659-7,Clinical significance of nutritional risk screening for older adult patients with COVID-19,10.1038/s41430-020-0659-7,/articles/s41430-020-0659-7,Gaoli Liu,"ObjectivesThe aim of this study was to assess the nutritional risks among older patients with COVID-19 and their associated clinical outcomes using four nutritional risk screening (NRS) tools: Nutrition Risk Screening 2002 (NRS 2002), Malnutrition Universal Screening Tool (MUST), Mini Nutrition Assessment Shortcut (MNA-sf), and Nutrition Risk Index (NRI).MethodsWe retrospectively analyzed the data of patients with COVID-19 older than 65 years who were treated in our hospital from January 28, 2020 to March 5, 2020, and explored the relationship between nutritional risk and clinical outcomes.ResultsA total of 141 patients with COVID-19 (46 common COVID-19, 73 severe COVID-19, and 22 extremely severe COVID-19) were enrolled in the study. NRS 2002 identified 85.8% of patients as having risk, with being identified 41.1% by MUST, 77.3% by MNA-sf, and 71.6% by NRI. The agreement strength was moderate between NRS 2002 and MNA-sf, NRI, fair between MUST and MNA-sf, NRI, fair between MNA-sf and NRI, poor between NRS 2002 and MUST (P < 0.01). After adjustment for confounding factors in multivariate regression analysis, patients in the risk group had significantly longer LOS, higher hospital expenses (except MNA-sf), poor appetite, heavier disease severity, and more weight change(kg) than normal patients by using NRS 2002, MNA-sf, and NRI(P < 0.05).ConclusionsThe NRS 2002, MNA-sf, and NRI are useful and practical tools with respect to screening for patients with COVID-19 who are at nutritional risk, as well as in need of additional nutritional intervention.",Research,European Journal of Clinical Nutrition,2020-05-13
DOI:10.1038/s41582-020-0368-9,COVID-19 and management of neuroimmunological disorders,10.1038/s41582-020-0368-9,/articles/s41582-020-0368-9,Hans-Peter Hartung,,Comments and Opinion,Nature Reviews Neurology,2020-05-22
DOI:10.1038/s41577-020-0343-0,COVID-19: the vasculature unleashed,10.1038/s41577-020-0343-0,/articles/s41577-020-0343-0,Laure-Anne Teuwen,,Comments and Opinion,Nature Reviews Immunology,2020-05-21
DOI:10.1038/s43018-020-0074-y,The impact of the COVID-19 pandemic on cancer care,10.1038/s43018-020-0074-y,/articles/s43018-020-0074-y,Mike Richards,,Comments and Opinion,Nature Cancer,2020-05-20
DOI:10.1038/s41372-020-0665-6,Perinatal aspects on the covid-19 pandemic: a practical resource for perinatal–neonatal specialists,10.1038/s41372-020-0665-6,/articles/s41372-020-0665-6,Francis Mimouni,"BackgroundLittle is known about the perinatal aspects of COVID-19.ObjectiveTo summarize available evidence and provide perinatologists/neonatologists with tools for managing their patients.MethodsAnalysis of available literature on COVID-19 using Medline and Google scholar.ResultsFrom scant data: vertical transmission from maternal infection during the third trimester probably does not occur or likely it occurs very rarely. Consequences of COVID-19 infection among women during early pregnancy remain unknown. We cannot conclude if pregnancy is a risk factor for more severe disease in women with COVID-19. Little is known about disease severity in neonates, and from very few samples, the presence of SARS-CoV-2 has not been documented in human milk. Links to websites of organizations with updated COVID-19 information are provided. Infographics summarize an approach to the pregnant woman or neonate with suspected or confirmed COVID-19.ConclusionsAs the pandemic continues, more data will be available that could lead to changes in current knowledge and recommendations.",Reviews,Journal of Perinatology,2020-04-10
DOI:10.1038/s41591-020-0897-1,Antibody responses to SARS-CoV-2 in patients with COVID-19,10.1038/s41591-020-0897-1,/articles/s41591-020-0897-1,Quan-Xin Long,"We report acute antibody responses to SARS-CoV-2 in 285 patients with COVID-19. Within 19 days after symptom onset, 100% of patients tested positive for antiviral immunoglobulin-G (IgG). Seroconversion for IgG and IgM occurred simultaneously or sequentially. Both IgG and IgM titers plateaued within 6 days after seroconversion. Serological testing may be helpful for the diagnosis of suspected patients with negative RT–PCR results and for the identification of asymptomatic infections.",Research,Nature Medicine,2020-04-29
DOI:10.1038/s41436-020-0832-3,COVID-19 outcomes and the human genome,10.1038/s41436-020-0832-3,/articles/s41436-020-0832-3,Michael F. Murray,,Comments and Opinion,Genetics in Medicine,2020-05-12
DOI:10.1038/s41409-020-0919-0,"The challenge of COVID-19 and hematopoietic cell transplantation; EBMT recommendations for management of hematopoietic cell transplant recipients, their donors, and patients undergoing CAR T-cell therapy",10.1038/s41409-020-0919-0,/articles/s41409-020-0919-0,Per Ljungman,"The new coronavirus SARS-CoV-2 has rapidly spread over the world causing the disease by WHO called COVID-19. This pandemic poses unprecedented stress on the health care system including programs performing allogeneic and autologous hematopoietic cell transplantation (HCT) and cellular therapy such as with CAR T cells. Risk factors for severe disease include age and predisposing conditions such as cancer. The true impact on stem cell transplant and CAR T-cell recipients in unknown. The European Society for Blood and Marrow Transplantation (EBMT) has therefore developed recommendations for transplant programs and physicians caring for these patients. These guidelines were developed by experts from the Infectious Diseases Working Party and have been endorsed by EBMT’s scientific council and board. This work intends to provide guidelines for transplant centers, management of transplant candidates and recipients, and donor issues until the COVID-19 pandemic has passed.",Reviews,Bone Marrow Transplantation,2020-05-13
DOI:10.1038/s41440-020-0455-8,"Interactions of coronaviruses with ACE2, angiotensin II, and RAS inhibitors—lessons from available evidence and insights into COVID-19",10.1038/s41440-020-0455-8,/articles/s41440-020-0455-8,Hisashi Kai,"The rapid spread of a novel coronavirus, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has led to an ongoing pandemic of coronavirus disease 2019 (COVID-19). Recently, angiotensin-converting enzyme 2 (ACE2) has been shown to be a functional receptor for SARS-CoV-2 to enter host target cells. Given that angiotensin receptor blockers (ARBs) and an ACE inhibitor (ACEI) upregulated ACE2 expression in animal studies, the concern might arise regarding whether ARBs and ACEIs would increase the morbidity and mortality of COVID-19. On the other hand, animal data suggested a potential protective effect of ARBs against COVID-19 pneumonia because an ARB prevented the aggravation of acute lung injury in mice infected with SARS-CoV, which is closely related to SARS-CoV-2. Importantly, however, there is no clinical or experimental evidence supporting that ARBs and ACEIs either augment the susceptibility to SARS-CoV-2 or aggravate the severity and outcomes of COVID-19 at present. Until further data are available, it is recommended that ARB and ACEI medications be continued for the treatment of patients with cardiovascular disease and hypertension, especially those at high risk, according to guideline-directed medical therapy based on the currently available evidence.",Reviews,Hypertension Research,2020-04-27
DOI:10.1038/s41591-020-0916-2,Real-time tracking of self-reported symptoms to predict potential COVID-19,10.1038/s41591-020-0916-2,/articles/s41591-020-0916-2,Cristina Menni,"A total of 2,618,862 participants reported their potential symptoms of COVID-19 on a smartphone-based app. Among the 18,401 who had undergone a SARS-CoV-2 test, the proportion of participants who reported loss of smell and taste was higher in those with a positive test result (4,668 of 7,178 individuals; 65.03%) than in those with a negative test result (2,436 of 11,223 participants; 21.71%) (odds ratio = 6.74; 95% confidence interval = 6.31–7.21). A model combining symptoms to predict probable infection was applied to the data from all app users who reported symptoms (805,753) and predicted that 140,312 (17.42%) participants are likely to have COVID-19.",Research,Nature Medicine,2020-05-11
DOI:10.1038/s41394-020-0284-7,COVID-19: Screening and triage challenges in people with disability due to Spinal Cord Injury,10.1038/s41394-020-0284-7,/articles/s41394-020-0284-7,Radha Korupolu,"An outbreak of a novel coronavirus disease (COVID-19) that emerged in the Chinese city of Wuhan has rapidly become a global public health pandemic. As of March 2020, the Centers for Disease Control and Prevention (CDC) has described priority levels for testing patients with suspected COVID-19 and information on when to seek medical attention. However, there is a paucity of further guidance for people with spinal cord injury (SCI) who may not present with typical symptoms of COVID-19 due to altered physiology. This may pose challenges with surveillance, risk stratification, and initial management of this vulnerable population. In this point-counterpoint discussion, we outline important differences in presentation along with COVID-19 cases co-morbid with SCI.",Reviews,Spinal Cord Series and Cases,2020-05-11
DOI:10.1038/s43018-020-0065-z,Crowdsourcing a crisis response for COVID-19 in oncology,10.1038/s43018-020-0065-z,/articles/s43018-020-0065-z,Aakash Desai,,Comments and Opinion,Nature Cancer,2020-04-21
DOI:10.1038/s41585-020-0331-y,The multifaceted long-term effects of the COVID-19 pandemic on urology,10.1038/s41585-020-0331-y,/articles/s41585-020-0331-y,Alessandro Morlacco,,Comments and Opinion,Nature Reviews Urology,2020-05-06
DOI:10.1038/s41433-020-0965-2,Detection of severe acute respiratory syndrome Coronavirus-2 in the tears of patients with Coronavirus disease 2019,10.1038/s41433-020-0965-2,/articles/s41433-020-0965-2,Saeed Karimi,"ObjectivesSince there are few reports on the ocular involvement of coronavirus disease 2019 (COVID-19) patients, this study aimed to assess the presence of severe acute respiratory syndrome Coronavirus-2 (SARS-CoV-2) in the tears of patients with COVID-19.MethodsIn this prospective case series, nasopharyngeal and tear sampling of 43 patients with severe COVID-19 were performed. The quantitative reverse transcription polymerase chain reaction (RT-PCR) was conducted to detect SARS-CoV-2. Ocular and systemic signs and symptoms were recorded from their medical history.ResultsThe mean age of patients was 56 ± 13 years. The average disease time from initiation of symptoms was 3.27 days, range: 1–7 days. Forty-one patients (95.3%) had fever at the time of sampling. Only one patient had conjunctivitis. Thirty (69.8%) nasopharyngeal and three (7%) tear samples were positive for SARS-CoV-2. The result of tear sample was positive in the patient with conjunctivitis. All patients with positive tear RT-PCR results had positive nasopharyngeal RT-PCR results.ConclusionsOcular manifestation was rare in this series of severe COVID-19 patients, however, 7% of the patients had viral RNA in their conjunctival secretions. Therefore, possibility of ocular transmission should be considered even in the absence of ocular manifestations.",Research,Eye,2020-05-18
DOI:10.1038/s41409-020-0913-6,COVID-19 pandemic and impact on hematopoietic stem cell transplantation,10.1038/s41409-020-0913-6,/articles/s41409-020-0913-6,Kamal Kant Sahu,,Correspondence,Bone Marrow Transplantation,2020-05-04
DOI:10.1038/s41390-020-0962-y,Key clinical research priorities for the pediatric community during the COVID-19 pandemic,10.1038/s41390-020-0962-y,/articles/s41390-020-0962-y,Gary J. Noel,,Comments and Opinion,Pediatric Research,2020-05-15
DOI:10.1038/s41558-020-0804-2,Compound climate risks in the COVID-19 pandemic,10.1038/s41558-020-0804-2,/articles/s41558-020-0804-2,Carly A. Phillips,,Comments and Opinion,Nature Climate Change,2020-05-15
