ID,PublishedDate,Title,Abstract,Type,Creator,Authors,Link,DOI,Availability,PII
DOI:10.1016/j.thromres.2020.04.024,2020-04-23,"Venous and arterial thromboembolic complications in COVID-19 patients admitted to an academic hospital in Milan, Italy",N/A (Too many requests),Thrombosis Research,Corrado Lodigiani,"{'author': [{'$': 'Corrado Lodigiani'}, {'$': 'Giacomo Iapichino'}, {'$': 'Luca Carenzo'}, {'$': 'Maurizio Cecconi'}, {'$': 'Humanitas COVID-19 Task Force'}]}",https://api.elsevier.com/content/article/pii/S0049384820301407,10.1016/j.thromres.2020.04.024,Private,S0049384820301407
DOI:10.1016/j.ekir.2020.04.001,2020-04-04,"Management of Patients on Dialysis and With Kidney Transplantation During the SARS-CoV-2 (COVID-19) Pandemic in Brescia, Italy",N/A (Too many requests),Kidney International Reports,Federico Alberici,"{'author': [{'$': 'Federico Alberici'}, {'$': 'Elisa Delbarba'}, {'$': 'Chiara Manenti'}, {'$': 'Laura Econimo'}, {'$': 'Brescia Renal COVID Task Force'}]}",https://api.elsevier.com/content/article/pii/S2468024920311700,10.1016/j.ekir.2020.04.001,Open,S2468024920311700
DOI:10.1016/j.psym.2020.05.007,2020-05-19,A CASE REPORT OF COVID-19 ASSOCIATED HYPERACTIVE ICU DELIRIUM WITH PROPOSED PATHOPHYSIOLOGY AND TREATMENT,N/A (Too many requests),Psychosomatics,Yelizaveta Sher,"{'author': [{'$': 'Yelizaveta Sher'}, {'$': 'Beatrice Rabkin'}, {'$': 'Jose R. Maldonado'}, {'$': 'Paul Mohabir'}]}",https://api.elsevier.com/content/article/pii/S0033318220301456,10.1016/j.psym.2020.05.007,Private,S0033318220301456
DOI:10.1016/j.jse.2020.05.003,2020-05-20,The impact of COVID-19 on shoulder and elbow trauma. An Italian survey,N/A (Too many requests),Journal of Shoulder and Elbow Surgery,Stefano Gumina,"{'author': [{'$': 'Stefano Gumina'}, {'$': 'Riccardo Proietti'}, {'$': 'Giuseppi Polizzotti'}, {'$': 'Stefano Carbone'}, {'$': 'Vittorio Candela'}]}",https://api.elsevier.com/content/article/pii/S1058274620304018,10.1016/j.jse.2020.05.003,Private,S1058274620304018
DOI:10.1016/j.bjorl.2020.05.001,2020-05-25,Incomplete and late recovery of sudden olfactory dysfunction in COVID-19,N/A (Too many requests),Brazilian Journal of Otorhinolaryngology,Eduardo Macoto Kosugi,"{'author': [{'$': 'Eduardo Macoto Kosugi'}, {'$': 'Joel Lavinsky'}, {'$': 'Fabrizio Ricci Romano'}, {'$': 'Marco Aurélio Fornazieri'}, {'$': 'Geraldo Druck Sant’Anna'}]}",https://api.elsevier.com/content/article/pii/S1808869420300598,10.1016/j.bjorl.2020.05.001,Open,S1808869420300598
DOI:10.1016/j.therap.2020.04.004,2020-04-23,THERAP–COVID-19,N/A (Too many requests),Therapies,Béatrice Bouhanick,"{'author': [{'$': 'Béatrice Bouhanick'}, {'$': 'Jean-Luc Cracowski'}, {'$': 'Jean-Luc Faillie'}, {'$': 'au nom du groupe de travail “médicaments et COVID-19” de la “Société Française de Pharmacologie et Thérapeutique”'}]}",https://api.elsevier.com/content/article/pii/S0040595720300688,10.1016/j.therap.2020.04.004,Private,S0040595720300688
DOI:10.1016/j.medcli.2020.05.005,2020-05-19,Mortalidad por Covid-19 en pacientes con cáncer en un hospital de Madrid durante las primeras 3 semanas de epidemia,N/A (Too many requests),Medicina Clínica,Miguel Ángel Lara Álvarez,"{'author': [{'$': 'Miguel Ángel Lara Álvarez'}, {'$': 'Jacobo Rogado Revuelta'}, {'$': 'Berta Obispo Portero'}, {'$': 'Cristina Pangua Méndez'}, {'$': 'Ana López Alfonso'}]}",https://api.elsevier.com/content/article/pii/S0025775320302815,10.1016/j.medcli.2020.05.005,Private,S0025775320302815
DOI:10.1016/j.idm.2020.05.001,2020-05-12,"Early transmission dynamics of COVID-19 in a southern hemisphere setting: Lima-Peru: February 29<ce:sup loc=post>th</ce:sup>–March 30<ce:sup loc=post>th</ce:sup>, 2020",N/A (Too many requests),Infectious Disease Modelling,César V. Munayco,"{'author': [{'$': 'César V. Munayco'}, {'$': 'Amna Tariq'}, {'$': 'Richard Rothenberg'}, {'$': 'Gabriela G. Soto-Cabezas'}, {'$': 'Peru COVID-19 working group'}]}",https://api.elsevier.com/content/article/pii/S2468042720300130,10.1016/j.idm.2020.05.001,Open,S2468042720300130
DOI:10.1016/j.ijid.2020.05.046,2020-05-17,Tracking the origin of early COVID-19 cases in Canada,N/A (Too many requests),International Journal of Infectious Diseases,Naizhuo Zhao,"{'author': [{'$': 'Naizhuo Zhao'}, {'$': 'Ying Liu'}, {'$': 'Audrey Smaragiassi'}, {'$': 'Sasha Bernatsky'}]}",https://api.elsevier.com/content/article/pii/S1201971220303532,10.1016/j.ijid.2020.05.046,Open,S1201971220303532
DOI:10.1016/j.adro.2020.04.028,2020-05-20,Extent of prior lung irradiation and mortality in COVID-19 patients with a cancer history,N/A (Too many requests),Advances in Radiation Oncology,Rafi Kabarriti,"{'author': [{'$': 'Rafi Kabarriti'}, {'$': 'N. Patrik Brodin'}, {'$': 'Maxim I. Maron'}, {'$': 'Wolfgang A. Tomé'}, {'$': 'Nitin Ohri'}]}",https://api.elsevier.com/content/article/pii/S2452109420301226,10.1016/j.adro.2020.04.028,Open,S2452109420301226
