Type,Title,Link,Authors,Abstract,PublishedDate,Availability
Clinical Practice,Mild or Moderate Covid-19,/doi/full/10.1056/NEJMcp2009249?query=featured_coronavirus,"R.T. Gandhi, J.B. Lynch, and C. del Rio","The diagnosis of Covid-19 is usually based on detection of SARS-CoV-2 by PCR testing (most commonly of a nasopharyngeal swab); false negatives may occur. Available data to guide treatment have substantial limitations; randomized trials of several treatments (e.g., hydroxychloroquine, remdesivir, and favipiravir) are ongoing.",Apr 24,N/A
Perspective,A National Medical Response to Crisis,/doi/full/10.1056/NEJMp2008512?query=featured_coronavirus,J. Barr and S.H. Podolsky,World War II’s massive casualties were mitigated by lives saved as a result of medical care. Many of the advances made would persist long after the war concluded — a silver lining that perhaps will have parallels in our current struggle with Covid-19.,Apr 29,N/A
Correspondence,Transforming ORs into ICUs,/doi/full/10.1056/NEJMc2010853?query=featured_coronavirus,"A.W. Peters, K.S. Chawla, and Z.A. Turnbull","In the epicenter of New York City, a medical center rapidly transforms unused facilities to increase its critical care capacity. In the process, it repurposes equipment, retrains staff, modifies ventilation systems, and constructs new walls.",Apr 24,N/A
Editorial,Ten Weeks to Crush the Curve,/doi/full/10.1056/NEJMe2007263?query=featured_coronavirus,H.V. Fineberg,"Harvey Fineberg calls for a forceful, focused campaign to eradicate Covid-19 and outlines six steps to mobilize and organize the nation to crush the curve by early June.",Apr 23,N/A
Correspondence,In Pursuit of PPE,/doi/full/10.1056/NEJMc2010025?query=featured_coronavirus,A.W. Artenstein,"A chief physician executive finds himself involved in the complexities of trying to secure a shipment of much-needed personal protective equipment for his hospital. In the end, it seemed like a scene from a gangster movie.",Apr 17,N/A
Sounding Board,Allocating Scarce Medical Resources for Covid-19,/doi/full/10.1056/NEJMsb2005114?query=featured_coronavirus,E.J. Emanuel and Others,"The Covid-19 pandemic has already stressed health care systems throughout the world, requiring rationing of medical equipment and care. The authors discuss the ethical values relevant to health care rationing and provide six recommendations to guide fair allocation of scarce medical resources during the pandemic.",Mar 23,N/A
Correspondence,Staying Ahead of the Wave,/doi/full/10.1056/NEJMc2009409?query=featured_coronavirus,"A.J. Singer, E.J. Morley, and M.C. Henry","This report from a hard-hit hospital on Long Island, New York, explains how the local coronavirus epidemic led to rapid innovation. The ED set up a forward-triage and treatment unit and a split-flow process to expedite care. Ways were found to produce face shields and hand sanitizer and to sterilize used N95 respirators.",Apr 13,N/A
Perspective,"Disease Control, Civil Liberties, and Mass Testing",/doi/full/10.1056/NEJMp2007637?query=featured_coronavirus,D.M. Studdert and M.A. Hall,"There is emerging consensus that a graduated approach to Covid-19–related restrictive measures will be needed. Decisions to continue, modify, or lift restrictions — particularly bans on movement and gathering — could be tailored using individualized risk assessment.",Apr 09,N/A
Original Article,Presymptomatic SARS-CoV-2 in a Nursing Facility,/doi/full/10.1056/NEJMoa2008457?query=featured_home,M.M. Arons and Others,The authors assessed transmission of SARS-CoV-2 and evaluated the adequacy of symptom-based screening in a skilled nursing facility. More than half of residents with positive test results were asymptomatic at the time of testing. Infection-control strategies focused solely on symptomatic residents were not sufficient to prevent transmission.,Apr 24,N/A
Correspondence,2019-nCoV Transmission from Asymptomatic Patient,/doi/full/10.1056/NEJMc2001468?query=featured_home,C. Rothe and Others,"In this report, investigators in Germany detected the spread of the novel coronavirus (2019-nCoV) from a person who had recently traveled from China to Germany for a business trip. This transmission occurred before the apparent onset of illness in the index patient and was associated with additional transmission events in Germany.",Mar 05,N/A
Perspective,Covid-19 — A Reminder to Reason,/doi/full/10.1056/NEJMp2009405?query=featured_home,I. Zagury-Orly and R.M. Schwartzstein,"Faced with the Covid-19 pandemic, clinicians feel compelled to do something for their patients. But we need to retain a healthy skepticism and remember the principle of clinical equipoise, particularly when considering interventions that could cause harm.",Apr 28,N/A
Perspective,Rural Matters — Coronavirus and the Navajo Nation,/doi/full/10.1056/NEJMp2012114?query=featured_coronavirus,H. Kovich,"Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness. Infections from the outside have always found their way here. It’s just infrastructure that hasn’t.",Apr 24,N/A
Correspondence,French Pandemic Resistance,/doi/full/10.1056/NEJMc2010122?query=featured_coronavirus,C. Haug,"Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.",Apr 22,N/A
Original Article,SARS-CoV-2 in Iceland,/doi/full/10.1056/NEJMoa2006100?query=featured_coronavirus,D.F. Gudbjartsson and Others,"Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland. However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.",Apr 14,N/A
Correspondence,From a Sprint to a Marathon in Hong Kong,/doi/full/10.1056/NEJMc2009790?query=featured_coronavirus,"G.M. Leung, B.J. Cowling, and J.T. Wu",Leung and colleagues from Hong Kong describe their actions after they were first alerted to a cluster of atypical pneumonia cases in Wuhan. A figure shows the evolution of the epidemic and the responses to date in Hong Kong.,Apr 15,N/A
Correspondence,Subclinical Covid-19 in South Korea,/doi/full/10.1056/NEJMc2001801?query=featured_coronavirus,J.-Y. Song and Others,"Among 28 early confirmed cases of Covid-19 in South Korea, diagnosis was delayed in 11 patients because of subclinical symptoms and diverse initial manifestations. Covid-19 was diagnosed by surveillance testing in 3 patients who were asymptomatic.",Apr 06,N/A
Correspondence,Covid-19 in New York City,/doi/full/10.1056/NEJMc2010419?query=featured_coronavirus,P. Goyal and Others,"In this series of 393 consecutive patients admitted with Covid-19 to two New York City hospitals from March 3 to March 27, a third of patients received invasive mechanical ventilation, 10% of patients died, and 24% were still hospitalized as of April 10.",Apr 17,N/A
Medicine and Society,The Untold Toll,/doi/full/10.1056/NEJMms2009984?query=featured_coronavirus,L. Rosenbaum,"As the pandemic focuses medical attention on treating affected patients and protecting others from infection, how do we best care for people with non-Covid disease? Some physicians predict that “the toll on non-Covid patients will be much greater than Covid deaths.”",Apr 17,N/A
Original Article,Oral Lopinavir–Ritonavir for Severe Covid-19,/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,B. Cao and Others,"Investigators in China report the results of an open-label, randomized clinical trial of lopinavir–ritonavir for the treatment of Covid-19 in 199 infected adult patients. The primary end point was the time to clinical improvement.",Mar 18,N/A
Perspective,Drug Evaluation during the Covid-19 Pandemic,/doi/full/10.1056/NEJMp2009457?query=featured_coronavirus,B.N. Rome and J. Avorn,"The search for a treatment for Covid-19 is testing our country’s ability to quickly develop, test, and deploy medications, and several aspects of the U.S. response highlight how the processes for evaluating and approving drugs can go awry during a public health crisis.",Apr 14,N/A
Original Article,Compassionate-Use Remdesivir for Severe Covid-19,/doi/full/10.1056/NEJMoa2007016?query=featured_coronavirus,J. Grein and Others,"A cohort of patients with severe Covid-19 received treatment with remdesivir under a compassionate-use protocol. Improvement in oxygen-support status was observed in 68% of patients, and overall mortality was 13% over a median follow-up of 18 days.",Apr 10,N/A
Correspondence,Aerosol and Surface Stability of SARS-CoV-2,/doi/full/10.1056/NEJMc2004973?query=featured_coronavirus,N. van Doremalen and Others,"In this research letter, investigators report on the stability of SARS-CoV-2 and SARS-CoV-1 under experimental conditions. The viability of the two viruses was assessed in aerosols and on plastic, stainless steel, copper, and cardboard.",Apr 16,N/A
Correspondence,Oral Fluid Droplets Generated during Speech,/doi/full/10.1056/NEJMc2007800?query=featured_coronavirus,P. Anfinrud and Others,"In this experiment, investigators used a laser in a darkened box to visualize droplets that were generated during speech. The droplets decreased in number with lower-amplitude speech and were almost eliminated when the speaker’s mouth was covered with a damp cloth (shown in a video).",Apr 15,N/A
Correspondence,Aerosols and Transmission of SARS-CoV-2,/doi/full/10.1056/NEJMc2009324?query=featured_coronavirus,M. Meselson,"With reference to a letter about the use of laser light scattering to visualize droplets that emanate during speech, this author describes the nature of aerosols and their potential for transmission of SARS-CoV-2.",Apr 15,N/A
Correspondence,SARS-CoV-2 Testing in Obstetrical Patients,/doi/full/10.1056/NEJMc2009316?query=featured_coronavirus,D. Sutton and Others,"Among 215 pregnant women who were admitted to a New York hospital for delivery and who underwent universal testing for SARS-CoV-2, more than one of eight asymptomatic women had positive results, and most of the women with Covid-19 were asymptomatic.",Apr 13,N/A
Correspondence,"Pregnant Women with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2009226?query=featured_coronavirus,L. Chen and Others,"Among 118 pregnant women with Covid-19 in Wuhan, China, the vast majority had a mild course of disease.",Apr 17,N/A
Correspondence,Late-Onset Neonatal Sepsis with Covid-19,/doi/full/10.1056/NEJMc2010614?query=featured_coronavirus,A. Coronado Munoz and Others,"The condition of a 3-week-old boy with nasal congestion, tachypnea, and reduced feeding deteriorated, and he underwent intubation and received hemodynamic support in the pediatric intensive care unit. Chest radiography showed bilateral linear opacities, and a nasal swab was positive for SARS-CoV-2.",Apr 22,N/A
Correspondence,Uncomplicated Delivery in a Patient with Covid-19,/doi/full/10.1056/NEJMc2007605?query=featured_coronavirus,S.N. Iqbal and Others,"The peripartum care of a woman with Covid-19 at 39 weeks of gestation is described. The woman and the neonate were discharged home on hospital day 6. Care was taken to avoid infecting hospital staff, and 7 days after the delivery, no caregivers appeared to be infected.",Apr 16,N/A
Perspective,Harnessing Our Humanity,/doi/full/10.1056/NEJMp2007466?query=featured_coronavirus,L. Rosenbaum,"As the Covid-19 pandemic spreads, we’ll continue to be plagued by resource constraints that will compromise our ability to protect ourselves, our patients, and our communities. But as Washington’s response reminds us, the professional spirit marches on, unconstrained.",Apr 01,N/A
Perspective,Critical Supply Shortages,/doi/full/10.1056/NEJMp2006141?query=featured_coronavirus,"M.L. Ranney, V. Griffeth, and A.K. Jha","U.S. hospitals are already reporting shortages of key equipment needed to care for critically ill patients with Covid-19, including ventilators and personal protective equipment for medical staff. Adequate production and distribution of this equipment is crucial.",Mar 25,N/A
Correspondence,Protective Shield for Intubation,/doi/full/10.1056/NEJMc2007589?query=featured_coronavirus,R. Canelli and Others,A four-sided plexiglass box with access holes for an operator was used to provide additional protection for an operator performing intubation. The box reduced the amount of material expelled from a simulated patient cough that ended up on the operator. This letter is accompanied by a video showing the simulation.,Apr 03,N/A
Original Article,Covid-19 Outbreak at a Long-Term Care Facility,/doi/full/10.1056/NEJMoa2005412?query=featured_coronavirus,T.M. McMichael and Others,"On February 28, 2020, public health officials in the Seattle area were informed of a Covid-19 infection at a long-term care facility. An investigation identified 167 infected persons associated with the facility, including residents, health care personnel, and visitors; more than a third of the 101 residents identified died.",Mar 27,N/A
Original Article,First U.S. Confirmed Case of 2019-nCoV Infection,/doi/full/10.1056/NEJMoa2001191?query=featured_coronavirus,M.L. Holshue and Others,"A healthy 35 year-old man who had visited Wuhan, China, presented with cough and fever that progressed to pneumonia. This report describes the diagnosis, clinical course, and management of the condition. The case highlights the importance of close coordination between clinicians and public health authorities at the local, state, and federal levels.",Mar 05,N/A
Original Article,"Covid-19 — Early ICU Experience, Seattle",/doi/full/10.1056/NEJMoa2004500?query=featured_coronavirus,P.K. Bhatraju and Others,"Clinicians and investigators report on the first 24 patients admitted to ICUs from nine Seattle area hospitals. Key aspects of the clinical presentation, treatment, and outcomes are described.",Mar 30,N/A
Original Article,Characteristics of Covid-19 in China,/doi/full/10.1056/NEJMoa2002032,W. Guan and Others,"In this study, researchers describe the clinical characteristics of coronavirus disease 2019 in a selected cohort of 1099 patients with laboratory-confirmed disease throughout mainland China during the first 2 months of the current outbreak.",Feb 28,N/A
Original Article,Early Transmission Dynamics of 2019-nCoV,/doi/full/10.1056/NEJMoa2001316,Q. Li and Others,"The authors provide an epidemiologic analysis of the first 425 confirmed cases of infection with the novel coronavirus in Wuhan, China. This analysis provides estimates of the epidemic doubling time and the basic reproductive number and shows clear evidence of sustained human-to-human transmission.",Mar 26,N/A
Original Article,A Novel Coronavirus in China,/doi/full/10.1056/NEJMoa2001017,N. Zhu and Others,"The authors report the emergence and isolation of a previously unknown betacoronavirus, the seventh member of the family of coronaviruses that infect humans, in Wuhan, China. Findings in three patients are described.",Feb 20,N/A
Correspondence,SARS-CoV-2 Infection in Travelers Returning from Wuhan,/doi/full/10.1056/NEJMc2003100,O.-T. Ng and Others,"Data on travelers returning from areas with many cases of Covid-19 may be useful in estimating incidence. The authors report follow-up data on 94 persons who boarded an evacuation flight from Wuhan, China, to Singapore on January 30, 2020.",Mar 12,N/A
Correspondence,"Children with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2003717,W. Liu and Others,"A retrospective analysis of routine surveillance data involving children hospitalized in central Wuhan, China, for acute lower respiratory infection in early January 2020 revealed six cases of Covid-19. The authors report clinical characteristics of the children and laboratory data.",Mar 12,N/A
Correspondence,SARS-CoV-2 Infection in Children,/doi/full/10.1056/NEJMc2005073,X. Lu and Others,"In this report, investigators in Wuhan, China, describe the spectrum of Covid-19 illness in children under the age of 16 years. Of 1391 children assessed and tested over a period of 4 weeks, 171 (12.3%) were confirmed to have SARS-CoV-2 infection.",Mar 18,N/A
Editorial,NEJM Covid-19 Update,https://interactives.nejm.org/iv/playlist_branded/index.html?media_id=chsWAwUH,N/A,Listen to conversations with editors Eric Rubin and Lindsey Baden on the current coronavirus outbreak.,N/A,N/A
IMAGES IN CLINICAL MEDICINE,A Sneeze,https://www.nejm.org/doi/full/10.1056/NEJMicm1501197,N/A,This video captures the emission of a sneeze cloud. The largest droplets rapidly settle within 1 to 2 m away from the person. The smaller and evaporating droplets can travel the dimensions of a room and land up to 6 to 8 m away.,N/A,N/A
IMAGES IN CLINICAL MEDICINE,Coughing and Aerosols,https://www.nejm.org/doi/full/10.1056/NEJMicm072576,N/A,"Sequential schlieren images during a cough, shown in a video, were recorded at 3000 frames per second. A maximum airspeed of 8 m per second (18 mph) was observed, averaged during the half-second cough.",N/A,N/A
NEJM Resident 360,COVID-19 Interactive Case,N/A,N/A,This interactive case presents a new patient with a history characteristic of COVID-19. It explains management of the associated hypoxemia and the laboratory and imaging studies. Test your knowledge and learn more about this disease.,N/A,N/A
