Type,Title,Link,Authors,Abstract,PublishedDate,Availability,lemmas_title,lemmas_abstract
Correspondence,Staying Ahead of the Wave,/doi/full/10.1056/NEJMc2009409?query=featured_coronavirus,"A.J. Singer, E.J. Morley, and M.C. Henry","This report from a hard-hit hospital on Long Island, New York, explains how the local coronavirus epidemic led to rapid innovation. The ED set up a forward-triage and treatment unit and a split-flow process to expedite care. Ways were found to produce face shields and hand sanitizer and to sterilize used N95 respirators.",Apr 13,,"['Staying', 'Ahead', 'Wave']","['This', 'report', 'hard-hit', 'hospital', 'Long', 'Island,', 'New', 'York,', 'explain', 'local', 'coronavirus', 'epidemic', 'lead', 'rapid', 'innovation.', 'The', 'ED', 'set', 'forward-triage', 'treatment', 'unit', 'split-flow', 'process', 'expedite', 'care.', 'Ways', 'find', 'produce', 'face', 'shield', 'hand', 'sanitizer', 'sterilize', 'use', 'N95', 'respirators.']"
Perspective,"Disease Control, Civil Liberties, and Mass Testing",/doi/full/10.1056/NEJMp2007637?query=featured_coronavirus,D.M. Studdert and M.A. Hall,"There is emerging consensus that a graduated approach to Covid-19–related restrictive measures will be needed. Decisions to continue, modify, or lift restrictions — particularly bans on movement and gathering — could be tailored using individualized risk assessment.",Apr 09,,"['Disease', 'Control,', 'Civil', 'Liberties,', 'Mass', 'Testing']","['There', 'emerge', 'consensus', 'graduate', 'approach', 'Covid-19–related', 'restrictive', 'measure', 'needed.', 'Decisions', 'continue,', 'modify,', 'lift', 'restrictions', '—', 'particularly', 'ban', 'movement', 'gather', '—', 'could', 'tailor', 'use', 'individualize', 'risk', 'assessment.']"
Original Article,Presymptomatic SARS-CoV-2 in a Nursing Facility,/doi/full/10.1056/NEJMoa2008457?query=featured_home,M.M. Arons and Others,The authors assessed transmission of SARS-CoV-2 and evaluated the adequacy of symptom-based screening in a skilled nursing facility. More than half of residents with positive test results were asymptomatic at the time of testing. Infection-control strategies focused solely on symptomatic residents were not sufficient to prevent transmission.,Apr 24,,"['Presymptomatic', 'SARS-CoV-2', 'Nursing', 'Facility']","['The', 'author', 'assess', 'transmission', 'SARS-CoV-2', 'evaluate', 'adequacy', 'symptom-based', 'screen', 'skilled', 'nurse', 'facility.', 'More', 'half', 'residents', 'positive', 'test', 'result', 'asymptomatic', 'time', 'testing.', 'Infection-control', 'strategies', 'focus', 'solely', 'symptomatic', 'residents', 'sufficient', 'prevent', 'transmission.']"
Correspondence,2019-nCoV Transmission from Asymptomatic Patient,/doi/full/10.1056/NEJMc2001468?query=featured_home,C. Rothe and Others,"In this report, investigators in Germany detected the spread of the novel coronavirus (2019-nCoV) from a person who had recently traveled from China to Germany for a business trip. This transmission occurred before the apparent onset of illness in the index patient and was associated with additional transmission events in Germany.",Mar 05,,"['2019-nCoV', 'Transmission', 'Asymptomatic', 'Patient']","['In', 'report,', 'investigators', 'Germany', 'detect', 'spread', 'novel', 'coronavirus', '(2019-nCoV)', 'person', 'recently', 'travel', 'China', 'Germany', 'business', 'trip.', 'This', 'transmission', 'occur', 'apparent', 'onset', 'illness', 'index', 'patient', 'associate', 'additional', 'transmission', 'events', 'Germany.']"
Perspective,Covid-19 — A Reminder to Reason,/doi/full/10.1056/NEJMp2009405?query=featured_home,I. Zagury-Orly and R.M. Schwartzstein,"Faced with the Covid-19 pandemic, clinicians feel compelled to do something for their patients. But we need to retain a healthy skepticism and remember the principle of clinical equipoise, particularly when considering interventions that could cause harm.",Apr 28,,"['Covid-19', '—', 'A', 'Reminder', 'Reason']","['Faced', 'Covid-19', 'pandemic,', 'clinicians', 'feel', 'compel', 'something', 'patients.', 'But', 'need', 'retain', 'healthy', 'skepticism', 'remember', 'principle', 'clinical', 'equipoise,', 'particularly', 'consider', 'interventions', 'could', 'cause', 'harm.']"
Perspective,Rural Matters — Coronavirus and the Navajo Nation,/doi/full/10.1056/NEJMp2012114?query=featured_coronavirus,H. Kovich,"Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness. Infections from the outside have always found their way here. It’s just infrastructure that hasn’t.",Apr 24,,"['Rural', 'Matters', '—', 'Coronavirus', 'Navajo', 'Nation']","['Reports', 'severity', 'Navajo', 'Nation', 'outbreak', 'don’t', 'mention', 'community’s', 'diversity', 'talent', 'experience,', 'resourcefulness.', 'Infections', 'outside', 'always', 'find', 'way', 'here.', 'It’s', 'infrastructure', 'hasn’t.']"
Correspondence,French Pandemic Resistance,/doi/full/10.1056/NEJMc2010122?query=featured_coronavirus,C. Haug,"Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.",Apr 22,,"['French', 'Pandemic', 'Resistance']","['Just', '4', 'years', 'ED', 'face', 'flood', 'patients', 'severely', 'wound', 'terrorist', 'attack,', 'Paris', 'hospital', 'make', 'large-scale', 'change', 'care', 'people', 'Covid-19', 'preserve', 'access', 'others', 'need', 'urgent', 'treatment.']"
Original Article,SARS-CoV-2 in Iceland,/doi/full/10.1056/NEJMoa2006100?query=featured_coronavirus,D.F. Gudbjartsson and Others,"Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland. However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.",Apr 14,,"['SARS-CoV-2', 'Iceland']","['Despite', 'timely', 'implementation', 'test', 'SARS-CoV-2', 'virus,', 'contact-tracing', 'scheme,', 'social-distancing', 'measures,', 'infection', 'spread', 'Iceland.', 'However,', 'detect', 'increase', 'proportion', 'infect', 'persons', 'March', '13', 'April', '4,', '2020.']"
Correspondence,From a Sprint to a Marathon in Hong Kong,/doi/full/10.1056/NEJMc2009790?query=featured_coronavirus,"G.M. Leung, B.J. Cowling, and J.T. Wu",Leung and colleagues from Hong Kong describe their actions after they were first alerted to a cluster of atypical pneumonia cases in Wuhan. A figure shows the evolution of the epidemic and the responses to date in Hong Kong.,Apr 15,,"['From', 'Sprint', 'Marathon', 'Hong', 'Kong']","['Leung', 'colleagues', 'Hong', 'Kong', 'describe', 'action', 'first', 'alert', 'cluster', 'atypical', 'pneumonia', 'case', 'Wuhan.', 'A', 'figure', 'show', 'evolution', 'epidemic', 'responses', 'date', 'Hong', 'Kong.']"
Correspondence,Subclinical Covid-19 in South Korea,/doi/full/10.1056/NEJMc2001801?query=featured_coronavirus,J.-Y. Song and Others,"Among 28 early confirmed cases of Covid-19 in South Korea, diagnosis was delayed in 11 patients because of subclinical symptoms and diverse initial manifestations. Covid-19 was diagnosed by surveillance testing in 3 patients who were asymptomatic.",Apr 06,,"['Subclinical', 'Covid-19', 'South', 'Korea']","['Among', '28', 'early', 'confirm', 'case', 'Covid-19', 'South', 'Korea,', 'diagnosis', 'delay', '11', 'patients', 'subclinical', 'symptoms', 'diverse', 'initial', 'manifestations.', 'Covid-19', 'diagnose', 'surveillance', 'test', '3', 'patients', 'asymptomatic.']"
Correspondence,Covid-19 in New York City,/doi/full/10.1056/NEJMc2010419?query=featured_coronavirus,P. Goyal and Others,"In this series of 393 consecutive patients admitted with Covid-19 to two New York City hospitals from March 3 to March 27, a third of patients received invasive mechanical ventilation, 10% of patients died, and 24% were still hospitalized as of April 10.",Apr 17,,"['Covid-19', 'New', 'York', 'City']","['In', 'series', '393', 'consecutive', 'patients', 'admit', 'Covid-19', 'two', 'New', 'York', 'City', 'hospitals', 'March', '3', 'March', '27,', 'third', 'patients', 'receive', 'invasive', 'mechanical', 'ventilation,', '10%', 'patients', 'died,', '24%', 'still', 'hospitalize', 'April', '10.']"
Medicine and Society,The Untold Toll,/doi/full/10.1056/NEJMms2009984?query=featured_coronavirus,L. Rosenbaum,"As the pandemic focuses medical attention on treating affected patients and protecting others from infection, how do we best care for people with non-Covid disease? Some physicians predict that “the toll on non-Covid patients will be much greater than Covid deaths.”",Apr 17,,"['The', 'Untold', 'Toll']","['As', 'pandemic', 'focus', 'medical', 'attention', 'treat', 'affect', 'patients', 'protect', 'others', 'infection,', 'best', 'care', 'people', 'non-Covid', 'disease?', 'Some', 'physicians', 'predict', '“the', 'toll', 'non-Covid', 'patients', 'much', 'greater', 'Covid', 'deaths.”']"
Original Article,Oral Lopinavir–Ritonavir for Severe Covid-19,/doi/full/10.1056/NEJMoa2001282?query=featured_coronavirus,B. Cao and Others,"Investigators in China report the results of an open-label, randomized clinical trial of lopinavir–ritonavir for the treatment of Covid-19 in 199 infected adult patients. The primary end point was the time to clinical improvement.",Mar 18,,"['Oral', 'Lopinavir–Ritonavir', 'Severe', 'Covid-19']","['Investigators', 'China', 'report', 'result', 'open-label,', 'randomize', 'clinical', 'trial', 'lopinavir–ritonavir', 'treatment', 'Covid-19', '199', 'infect', 'adult', 'patients.', 'The', 'primary', 'end', 'point', 'time', 'clinical', 'improvement.']"
Perspective,Drug Evaluation during the Covid-19 Pandemic,/doi/full/10.1056/NEJMp2009457?query=featured_coronavirus,B.N. Rome and J. Avorn,"The search for a treatment for Covid-19 is testing our country’s ability to quickly develop, test, and deploy medications, and several aspects of the U.S. response highlight how the processes for evaluating and approving drugs can go awry during a public health crisis.",Apr 14,,"['Drug', 'Evaluation', 'Covid-19', 'Pandemic']","['The', 'search', 'treatment', 'Covid-19', 'test', 'country’s', 'ability', 'quickly', 'develop,', 'test,', 'deploy', 'medications,', 'several', 'aspects', 'U.S.', 'response', 'highlight', 'process', 'evaluate', 'approve', 'drug', 'go', 'awry', 'public', 'health', 'crisis.']"
Original Article,Compassionate-Use Remdesivir for Severe Covid-19,/doi/full/10.1056/NEJMoa2007016?query=featured_coronavirus,J. Grein and Others,"A cohort of patients with severe Covid-19 received treatment with remdesivir under a compassionate-use protocol. Improvement in oxygen-support status was observed in 68% of patients, and overall mortality was 13% over a median follow-up of 18 days.",Apr 10,,"['Compassionate-Use', 'Remdesivir', 'Severe', 'Covid-19']","['A', 'cohort', 'patients', 'severe', 'Covid-19', 'receive', 'treatment', 'remdesivir', 'compassionate-use', 'protocol.', 'Improvement', 'oxygen-support', 'status', 'observe', '68%', 'patients,', 'overall', 'mortality', '13%', 'median', 'follow-up', '18', 'days.']"
Correspondence,Aerosol and Surface Stability of SARS-CoV-2,/doi/full/10.1056/NEJMc2004973?query=featured_coronavirus,N. van Doremalen and Others,"In this research letter, investigators report on the stability of SARS-CoV-2 and SARS-CoV-1 under experimental conditions. The viability of the two viruses was assessed in aerosols and on plastic, stainless steel, copper, and cardboard.",Apr 16,,"['Aerosol', 'Surface', 'Stability', 'SARS-CoV-2']","['In', 'research', 'letter,', 'investigators', 'report', 'stability', 'SARS-CoV-2', 'SARS-CoV-1', 'experimental', 'conditions.', 'The', 'viability', 'two', 'viruses', 'assess', 'aerosols', 'plastic,', 'stainless', 'steel,', 'copper,', 'cardboard.']"
Correspondence,Oral Fluid Droplets Generated during Speech,/doi/full/10.1056/NEJMc2007800?query=featured_coronavirus,P. Anfinrud and Others,"In this experiment, investigators used a laser in a darkened box to visualize droplets that were generated during speech. The droplets decreased in number with lower-amplitude speech and were almost eliminated when the speaker’s mouth was covered with a damp cloth (shown in a video).",Apr 15,,"['Oral', 'Fluid', 'Droplets', 'Generated', 'Speech']","['In', 'experiment,', 'investigators', 'use', 'laser', 'darken', 'box', 'visualize', 'droplets', 'generate', 'speech.', 'The', 'droplets', 'decrease', 'number', 'lower-amplitude', 'speech', 'almost', 'eliminate', 'speaker’s', 'mouth', 'cover', 'damp', 'cloth', '(shown', 'video).']"
Correspondence,Aerosols and Transmission of SARS-CoV-2,/doi/full/10.1056/NEJMc2009324?query=featured_coronavirus,M. Meselson,"With reference to a letter about the use of laser light scattering to visualize droplets that emanate during speech, this author describes the nature of aerosols and their potential for transmission of SARS-CoV-2.",Apr 15,,"['Aerosols', 'Transmission', 'SARS-CoV-2']","['With', 'reference', 'letter', 'use', 'laser', 'light', 'scatter', 'visualize', 'droplets', 'emanate', 'speech,', 'author', 'describe', 'nature', 'aerosols', 'potential', 'transmission', 'SARS-CoV-2.']"
Correspondence,SARS-CoV-2 Testing in Obstetrical Patients,/doi/full/10.1056/NEJMc2009316?query=featured_coronavirus,D. Sutton and Others,"Among 215 pregnant women who were admitted to a New York hospital for delivery and who underwent universal testing for SARS-CoV-2, more than one of eight asymptomatic women had positive results, and most of the women with Covid-19 were asymptomatic.",Apr 13,,"['SARS-CoV-2', 'Testing', 'Obstetrical', 'Patients']","['Among', '215', 'pregnant', 'women', 'admit', 'New', 'York', 'hospital', 'delivery', 'undergo', 'universal', 'test', 'SARS-CoV-2,', 'one', 'eight', 'asymptomatic', 'women', 'positive', 'results,', 'women', 'Covid-19', 'asymptomatic.']"
Correspondence,"Pregnant Women with Covid-19 in Wuhan, China",/doi/full/10.1056/NEJMc2009226?query=featured_coronavirus,L. Chen and Others,"Among 118 pregnant women with Covid-19 in Wuhan, China, the vast majority had a mild course of disease.",Apr 17,,"['Pregnant', 'Women', 'Covid-19', 'Wuhan,', 'China']","['Among', '118', 'pregnant', 'women', 'Covid-19', 'Wuhan,', 'China,', 'vast', 'majority', 'mild', 'course', 'disease.']"
Correspondence,Late-Onset Neonatal Sepsis with Covid-19,/doi/full/10.1056/NEJMc2010614?query=featured_coronavirus,A. Coronado Munoz and Others,"The condition of a 3-week-old boy with nasal congestion, tachypnea, and reduced feeding deteriorated, and he underwent intubation and received hemodynamic support in the pediatric intensive care unit. Chest radiography showed bilateral linear opacities, and a nasal swab was positive for SARS-CoV-2.",Apr 22,,"['Late-Onset', 'Neonatal', 'Sepsis', 'Covid-19']","['The', 'condition', '3-week-old', 'boy', 'nasal', 'congestion,', 'tachypnea,', 'reduce', 'feed', 'deteriorated,', 'undergo', 'intubation', 'receive', 'hemodynamic', 'support', 'pediatric', 'intensive', 'care', 'unit.', 'Chest', 'radiography', 'show', 'bilateral', 'linear', 'opacities,', 'nasal', 'swab', 'positive', 'SARS-CoV-2.']"
Correspondence,Uncomplicated Delivery in a Patient with Covid-19,/doi/full/10.1056/NEJMc2007605?query=featured_coronavirus,S.N. Iqbal and Others,"The peripartum care of a woman with Covid-19 at 39 weeks of gestation is described. The woman and the neonate were discharged home on hospital day 6. Care was taken to avoid infecting hospital staff, and 7 days after the delivery, no caregivers appeared to be infected.",Apr 16,,"['Uncomplicated', 'Delivery', 'Patient', 'Covid-19']","['The', 'peripartum', 'care', 'woman', 'Covid-19', '39', 'weeks', 'gestation', 'described.', 'The', 'woman', 'neonate', 'discharge', 'home', 'hospital', 'day', '6.', 'Care', 'take', 'avoid', 'infect', 'hospital', 'staff,', '7', 'days', 'delivery,', 'caregivers', 'appear', 'infected.']"
Perspective,Harnessing Our Humanity,/doi/full/10.1056/NEJMp2007466?query=featured_coronavirus,L. Rosenbaum,"As the Covid-19 pandemic spreads, we’ll continue to be plagued by resource constraints that will compromise our ability to protect ourselves, our patients, and our communities. But as Washington’s response reminds us, the professional spirit marches on, unconstrained.",Apr 01,,"['Harnessing', 'Our', 'Humanity']","['As', 'Covid-19', 'pandemic', 'spreads,', 'we’ll', 'continue', 'plague', 'resource', 'constraints', 'compromise', 'ability', 'protect', 'ourselves,', 'patients,', 'communities.', 'But', 'Washington’s', 'response', 'remind', 'us,', 'professional', 'spirit', 'march', 'on,', 'unconstrained.']"
Perspective,Critical Supply Shortages,/doi/full/10.1056/NEJMp2006141?query=featured_coronavirus,"M.L. Ranney, V. Griffeth, and A.K. Jha","U.S. hospitals are already reporting shortages of key equipment needed to care for critically ill patients with Covid-19, including ventilators and personal protective equipment for medical staff. Adequate production and distribution of this equipment is crucial.",Mar 25,,"['Critical', 'Supply', 'Shortages']","['U.S.', 'hospitals', 'already', 'report', 'shortages', 'key', 'equipment', 'need', 'care', 'critically', 'ill', 'patients', 'Covid-19,', 'include', 'ventilators', 'personal', 'protective', 'equipment', 'medical', 'staff.', 'Adequate', 'production', 'distribution', 'equipment', 'crucial.']"
