Type,Title,Link,Authors,Abstract,PublishedDate,Availability,title_words,abstract_words,abstract_sentences
Clinical Practice,Mild or Moderate Covid-19,/doi/full/10.1056/NEJMcp2009249?query=featured_coronavirus,"R.T. Gandhi, J.B. Lynch, and C. del Rio","The diagnosis of Covid-19 is usually based on detection of SARS-CoV-2 by PCR testing (most commonly of a nasopharyngeal swab); false negatives may occur. Available data to guide treatment have substantial limitations; randomized trials of several treatments (e.g., hydroxychloroquine, remdesivir, and favipiravir) are ongoing.",Apr 24,,"['Mild', 'or', 'Moderate', 'Covid-19']","['The', 'diagnosis', 'of', 'Covid-19', 'be', 'usually', 'base', 'on', 'detection', 'of', 'SARS-CoV-2', 'by', 'PCR', 'test', '(', 'most', 'commonly', 'of', 'a', 'nasopharyngeal', 'swab', ')', ';', 'false', 'negative', 'may', 'occur', '.', 'Available', 'data', 'to', 'guide', 'treatment', 'have', 'substantial', 'limitation', ';', 'randomize', 'trial', 'of', 'several', 'treatment', '(', 'e.g.', ',', 'hydroxychloroquine', ',', 'remdesivir', ',', 'and', 'favipiravir', ')', 'be', 'ongoing', '.']","['The diagnosis of Covid-19 is usually based on detection of SARS-CoV-2 by PCR testing (most commonly of a nasopharyngeal swab); false negatives may occur.', 'Available data to guide treatment have substantial limitations; randomized trials of several treatments (e.g., hydroxychloroquine, remdesivir, and favipiravir) are ongoing.']"
Perspective,A National Medical Response to Crisis,/doi/full/10.1056/NEJMp2008512?query=featured_coronavirus,J. Barr and S.H. Podolsky,World War II’s massive casualties were mitigated by lives saved as a result of medical care. Many of the advances made would persist long after the war concluded — a silver lining that perhaps will have parallels in our current struggle with Covid-19.,Apr 29,,"['A', 'National', 'Medical', 'Response', 'to', 'Crisis']","['World', 'War', 'II', '’', 's', 'massive', 'casualty', 'be', 'mitigate', 'by', 'life', 'save', 'a', 'a', 'result', 'of', 'medical', 'care', '.', 'Many', 'of', 'the', 'advance', 'make', 'would', 'persist', 'long', 'after', 'the', 'war', 'conclude', '—', 'a', 'silver', 'line', 'that', 'perhaps', 'will', 'have', 'parallel', 'in', 'our', 'current', 'struggle', 'with', 'Covid-19', '.']","['World War II’s massive casualties were mitigated by lives saved as a result of medical care.', 'Many of the advances made would persist long after the war concluded — a silver lining that perhaps will have parallels in our current struggle with Covid-19.']"
Correspondence,Transforming ORs into ICUs,/doi/full/10.1056/NEJMc2010853?query=featured_coronavirus,"A.W. Peters, K.S. Chawla, and Z.A. Turnbull","In the epicenter of New York City, a medical center rapidly transforms unused facilities to increase its critical care capacity. In the process, it repurposes equipment, retrains staff, modifies ventilation systems, and constructs new walls.",Apr 24,,"['Transforming', 'ORs', 'into', 'ICUs']","['In', 'the', 'epicenter', 'of', 'New', 'York', 'City', ',', 'a', 'medical', 'center', 'rapidly', 'transform', 'unused', 'facility', 'to', 'increase', 'it', 'critical', 'care', 'capacity', '.', 'In', 'the', 'process', ',', 'it', 'repurposes', 'equipment', ',', 'retrain', 'staff', ',', 'modify', 'ventilation', 'system', ',', 'and', 'construct', 'new', 'wall', '.']","['In the epicenter of New York City, a medical center rapidly transforms unused facilities to increase its critical care capacity.', 'In the process, it repurposes equipment, retrains staff, modifies ventilation systems, and constructs new walls.']"
Editorial,Ten Weeks to Crush the Curve,/doi/full/10.1056/NEJMe2007263?query=featured_coronavirus,H.V. Fineberg,"Harvey Fineberg calls for a forceful, focused campaign to eradicate Covid-19 and outlines six steps to mobilize and organize the nation to crush the curve by early June.",Apr 23,,"['Ten', 'Weeks', 'to', 'Crush', 'the', 'Curve']","['Harvey', 'Fineberg', 'call', 'for', 'a', 'forceful', ',', 'focus', 'campaign', 'to', 'eradicate', 'Covid-19', 'and', 'outline', 'six', 'step', 'to', 'mobilize', 'and', 'organize', 'the', 'nation', 'to', 'crush', 'the', 'curve', 'by', 'early', 'June', '.']","['Harvey Fineberg calls for a forceful, focused campaign to eradicate Covid-19 and outlines six steps to mobilize and organize the nation to crush the curve by early June.']"
Correspondence,In Pursuit of PPE,/doi/full/10.1056/NEJMc2010025?query=featured_coronavirus,A.W. Artenstein,"A chief physician executive finds himself involved in the complexities of trying to secure a shipment of much-needed personal protective equipment for his hospital. In the end, it seemed like a scene from a gangster movie.",Apr 17,,"['In', 'Pursuit', 'of', 'PPE']","['A', 'chief', 'physician', 'executive', 'find', 'himself', 'involve', 'in', 'the', 'complexity', 'of', 'try', 'to', 'secure', 'a', 'shipment', 'of', 'much-needed', 'personal', 'protective', 'equipment', 'for', 'his', 'hospital', '.', 'In', 'the', 'end', ',', 'it', 'seem', 'like', 'a', 'scene', 'from', 'a', 'gangster', 'movie', '.']","['A chief physician executive finds himself involved in the complexities of trying to secure a shipment of much-needed personal protective equipment for his hospital.', 'In the end, it seemed like a scene from a gangster movie.']"
Sounding Board,Allocating Scarce Medical Resources for Covid-19,/doi/full/10.1056/NEJMsb2005114?query=featured_coronavirus,E.J. Emanuel and Others,"The Covid-19 pandemic has already stressed health care systems throughout the world, requiring rationing of medical equipment and care. The authors discuss the ethical values relevant to health care rationing and provide six recommendations to guide fair allocation of scarce medical resources during the pandemic.",Mar 23,,"['Allocating', 'Scarce', 'Medical', 'Resources', 'for', 'Covid-19']","['The', 'Covid-19', 'pandemic', 'ha', 'already', 'stress', 'health', 'care', 'system', 'throughout', 'the', 'world', ',', 'require', 'ration', 'of', 'medical', 'equipment', 'and', 'care', '.', 'The', 'author', 'discus', 'the', 'ethical', 'value', 'relevant', 'to', 'health', 'care', 'ration', 'and', 'provide', 'six', 'recommendation', 'to', 'guide', 'fair', 'allocation', 'of', 'scarce', 'medical', 'resource', 'during', 'the', 'pandemic', '.']","['The Covid-19 pandemic has already stressed health care systems throughout the world, requiring rationing of medical equipment and care.', 'The authors discuss the ethical values relevant to health care rationing and provide six recommendations to guide fair allocation of scarce medical resources during the pandemic.']"
Correspondence,Staying Ahead of the Wave,/doi/full/10.1056/NEJMc2009409?query=featured_coronavirus,"A.J. Singer, E.J. Morley, and M.C. Henry","This report from a hard-hit hospital on Long Island, New York, explains how the local coronavirus epidemic led to rapid innovation. The ED set up a forward-triage and treatment unit and a split-flow process to expedite care. Ways were found to produce face shields and hand sanitizer and to sterilize used N95 respirators.",Apr 13,,"['Staying', 'Ahead', 'of', 'the', 'Wave']","['This', 'report', 'from', 'a', 'hard-hit', 'hospital', 'on', 'Long', 'Island', ',', 'New', 'York', ',', 'explain', 'how', 'the', 'local', 'coronavirus', 'epidemic', 'lead', 'to', 'rapid', 'innovation', '.', 'The', 'ED', 'set', 'up', 'a', 'forward-triage', 'and', 'treatment', 'unit', 'and', 'a', 'split-flow', 'process', 'to', 'expedite', 'care', '.', 'Ways', 'be', 'find', 'to', 'produce', 'face', 'shield', 'and', 'hand', 'sanitizer', 'and', 'to', 'sterilize', 'use', 'N95', 'respirator', '.']","['This report from a hard-hit hospital on Long Island, New York, explains how the local coronavirus epidemic led to rapid innovation.', 'The ED set up a forward-triage and treatment unit and a split-flow process to expedite care.', 'Ways were found to produce face shields and hand sanitizer and to sterilize used N95 respirators.']"
Perspective,"Disease Control, Civil Liberties, and Mass Testing",/doi/full/10.1056/NEJMp2007637?query=featured_coronavirus,D.M. Studdert and M.A. Hall,"There is emerging consensus that a graduated approach to Covid-19–related restrictive measures will be needed. Decisions to continue, modify, or lift restrictions — particularly bans on movement and gathering — could be tailored using individualized risk assessment.",Apr 09,,"['Disease', 'Control', ',', 'Civil', 'Liberties', ',', 'and', 'Mass', 'Testing']","['There', 'be', 'emerge', 'consensus', 'that', 'a', 'graduate', 'approach', 'to', 'Covid-19–related', 'restrictive', 'measure', 'will', 'be', 'need', '.', 'Decisions', 'to', 'continue', ',', 'modify', ',', 'or', 'lift', 'restriction', '—', 'particularly', 'ban', 'on', 'movement', 'and', 'gather', '—', 'could', 'be', 'tailor', 'use', 'individualize', 'risk', 'assessment', '.']","['There is emerging consensus that a graduated approach to Covid-19–related restrictive measures will be needed.', 'Decisions to continue, modify, or lift restrictions — particularly bans on movement and gathering — could be tailored using individualized risk assessment.']"
Original Article,Presymptomatic SARS-CoV-2 in a Nursing Facility,/doi/full/10.1056/NEJMoa2008457?query=featured_home,M.M. Arons and Others,The authors assessed transmission of SARS-CoV-2 and evaluated the adequacy of symptom-based screening in a skilled nursing facility. More than half of residents with positive test results were asymptomatic at the time of testing. Infection-control strategies focused solely on symptomatic residents were not sufficient to prevent transmission.,Apr 24,,"['Presymptomatic', 'SARS-CoV-2', 'in', 'a', 'Nursing', 'Facility']","['The', 'author', 'assess', 'transmission', 'of', 'SARS-CoV-2', 'and', 'evaluate', 'the', 'adequacy', 'of', 'symptom-based', 'screen', 'in', 'a', 'skilled', 'nurse', 'facility', '.', 'More', 'than', 'half', 'of', 'resident', 'with', 'positive', 'test', 'result', 'be', 'asymptomatic', 'at', 'the', 'time', 'of', 'test', '.', 'Infection-control', 'strategy', 'focus', 'solely', 'on', 'symptomatic', 'resident', 'be', 'not', 'sufficient', 'to', 'prevent', 'transmission', '.']","['The authors assessed transmission of SARS-CoV-2 and evaluated the adequacy of symptom-based screening in a skilled nursing facility.', 'More than half of residents with positive test results were asymptomatic at the time of testing.', 'Infection-control strategies focused solely on symptomatic residents were not sufficient to prevent transmission.']"
Correspondence,2019-nCoV Transmission from Asymptomatic Patient,/doi/full/10.1056/NEJMc2001468?query=featured_home,C. Rothe and Others,"In this report, investigators in Germany detected the spread of the novel coronavirus (2019-nCoV) from a person who had recently traveled from China to Germany for a business trip. This transmission occurred before the apparent onset of illness in the index patient and was associated with additional transmission events in Germany.",Mar 05,,"['2019-nCoV', 'Transmission', 'from', 'Asymptomatic', 'Patient']","['In', 'this', 'report', ',', 'investigator', 'in', 'Germany', 'detect', 'the', 'spread', 'of', 'the', 'novel', 'coronavirus', '(', '2019-nCoV', ')', 'from', 'a', 'person', 'who', 'have', 'recently', 'travel', 'from', 'China', 'to', 'Germany', 'for', 'a', 'business', 'trip', '.', 'This', 'transmission', 'occur', 'before', 'the', 'apparent', 'onset', 'of', 'illness', 'in', 'the', 'index', 'patient', 'and', 'wa', 'associate', 'with', 'additional', 'transmission', 'event', 'in', 'Germany', '.']","['In this report, investigators in Germany detected the spread of the novel coronavirus (2019-nCoV) from a person who had recently traveled from China to Germany for a business trip.', 'This transmission occurred before the apparent onset of illness in the index patient and was associated with additional transmission events in Germany.']"
Perspective,Covid-19 — A Reminder to Reason,/doi/full/10.1056/NEJMp2009405?query=featured_home,I. Zagury-Orly and R.M. Schwartzstein,"Faced with the Covid-19 pandemic, clinicians feel compelled to do something for their patients. But we need to retain a healthy skepticism and remember the principle of clinical equipoise, particularly when considering interventions that could cause harm.",Apr 28,,"['Covid-19', '—', 'A', 'Reminder', 'to', 'Reason']","['Faced', 'with', 'the', 'Covid-19', 'pandemic', ',', 'clinician', 'feel', 'compel', 'to', 'do', 'something', 'for', 'their', 'patient', '.', 'But', 'we', 'need', 'to', 'retain', 'a', 'healthy', 'skepticism', 'and', 'remember', 'the', 'principle', 'of', 'clinical', 'equipoise', ',', 'particularly', 'when', 'consider', 'intervention', 'that', 'could', 'cause', 'harm', '.']","['Faced with the Covid-19 pandemic, clinicians feel compelled to do something for their patients.', 'But we need to retain a healthy skepticism and remember the principle of clinical equipoise, particularly when considering interventions that could cause harm.']"
Perspective,Rural Matters — Coronavirus and the Navajo Nation,/doi/full/10.1056/NEJMp2012114?query=featured_coronavirus,H. Kovich,"Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness. Infections from the outside have always found their way here. It’s just infrastructure that hasn’t.",Apr 24,,"['Rural', 'Matters', '—', 'Coronavirus', 'and', 'the', 'Navajo', 'Nation']","['Reports', 'on', 'the', 'severity', 'of', 'the', 'Navajo', 'Nation', 'outbreak', 'don', '’', 't', 'mention', 'the', 'community', '’', 's', 'diversity', 'of', 'talent', 'and', 'experience', ',', 'it', 'resourcefulness', '.', 'Infections', 'from', 'the', 'outside', 'have', 'always', 'find', 'their', 'way', 'here', '.', 'It', '’', 's', 'just', 'infrastructure', 'that', 'hasn', '’', 't', '.']","['Reports on the severity of the Navajo Nation outbreak don’t mention the community’s diversity of talent and experience, its resourcefulness.', 'Infections from the outside have always found their way here.', 'It’s just infrastructure that hasn’t.']"
Correspondence,French Pandemic Resistance,/doi/full/10.1056/NEJMc2010122?query=featured_coronavirus,C. Haug,"Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.",Apr 22,,"['French', 'Pandemic', 'Resistance']","['Just', 'over', '4', 'year', 'after', 'it', 'ED', 'face', 'a', 'flood', 'of', 'patient', 'severely', 'wound', 'in', 'a', 'terrorist', 'attack', ',', 'a', 'Paris', 'hospital', 'make', 'large-scale', 'change', 'to', 'care', 'for', 'people', 'with', 'Covid-19', 'while', 'preserve', 'access', 'for', 'others', 'need', 'urgent', 'treatment', '.']","['Just over 4 years after its ED faced a flood of patients severely wounded in a terrorist attack, a Paris hospital makes large-scale changes to care for people with Covid-19 while preserving access for others needing urgent treatment.']"
Original Article,SARS-CoV-2 in Iceland,/doi/full/10.1056/NEJMoa2006100?query=featured_coronavirus,D.F. Gudbjartsson and Others,"Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland. However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.",Apr 14,,"['SARS-CoV-2', 'in', 'Iceland']","['Despite', 'timely', 'implementation', 'of', 'test', 'for', 'SARS-CoV-2', 'virus', ',', 'a', 'contact-tracing', 'scheme', ',', 'and', 'social-distancing', 'measure', ',', 'infection', 'ha', 'spread', 'in', 'Iceland', '.', 'However', ',', 'there', 'wa', 'no', 'detect', 'increase', 'in', 'the', 'proportion', 'of', 'infect', 'person', 'between', 'March', '13', 'and', 'April', '4', ',', '2020', '.']","['Despite timely implementation of testing for SARS-CoV-2 virus, a contact-tracing scheme, and social-distancing measures, infection has spread in Iceland.', 'However, there was no detected increase in the proportion of infected persons between March 13 and April 4, 2020.']"
Correspondence,From a Sprint to a Marathon in Hong Kong,/doi/full/10.1056/NEJMc2009790?query=featured_coronavirus,"G.M. Leung, B.J. Cowling, and J.T. Wu",Leung and colleagues from Hong Kong describe their actions after they were first alerted to a cluster of atypical pneumonia cases in Wuhan. A figure shows the evolution of the epidemic and the responses to date in Hong Kong.,Apr 15,,"['From', 'a', 'Sprint', 'to', 'a', 'Marathon', 'in', 'Hong', 'Kong']","['Leung', 'and', 'colleague', 'from', 'Hong', 'Kong', 'describe', 'their', 'action', 'after', 'they', 'be', 'first', 'alert', 'to', 'a', 'cluster', 'of', 'atypical', 'pneumonia', 'case', 'in', 'Wuhan', '.', 'A', 'figure', 'show', 'the', 'evolution', 'of', 'the', 'epidemic', 'and', 'the', 'response', 'to', 'date', 'in', 'Hong', 'Kong', '.']","['Leung and colleagues from Hong Kong describe their actions after they were first alerted to a cluster of atypical pneumonia cases in Wuhan.', 'A figure shows the evolution of the epidemic and the responses to date in Hong Kong.']"
Correspondence,Subclinical Covid-19 in South Korea,/doi/full/10.1056/NEJMc2001801?query=featured_coronavirus,J.-Y. Song and Others,"Among 28 early confirmed cases of Covid-19 in South Korea, diagnosis was delayed in 11 patients because of subclinical symptoms and diverse initial manifestations. Covid-19 was diagnosed by surveillance testing in 3 patients who were asymptomatic.",Apr 06,,"['Subclinical', 'Covid-19', 'in', 'South', 'Korea']","['Among', '28', 'early', 'confirm', 'case', 'of', 'Covid-19', 'in', 'South', 'Korea', ',', 'diagnosis', 'wa', 'delay', 'in', '11', 'patient', 'because', 'of', 'subclinical', 'symptom', 'and', 'diverse', 'initial', 'manifestation', '.', 'Covid-19', 'wa', 'diagnose', 'by', 'surveillance', 'test', 'in', '3', 'patient', 'who', 'be', 'asymptomatic', '.']","['Among 28 early confirmed cases of Covid-19 in South Korea, diagnosis was delayed in 11 patients because of subclinical symptoms and diverse initial manifestations.', 'Covid-19 was diagnosed by surveillance testing in 3 patients who were asymptomatic.']"
